n,x,y,lx,ly,rx,ry
1110,227.0,240.5,198,238,256,243
1175,227.0,241.0,198,239,256,243
1214,225.0,244.0,197,241,253,247
1245,225.0,243.0,196,240,254,246
1274,225.0,243.0,195,241,255,245
1309,226.5,242.5,196,240,257,245
1338,227.0,241.5,198,239,256,244
1368,227.0,241.5,197,239,257,244
1400,227.0,241.5,198,239,256,244
1446,227.5,241.0,198,239,257,243
1475,228.0,241.5,199,239,257,244
1507,228.0,241.0,199,239,257,243
1569,228.5,241.5,199,239,258,244
1600,228.0,241.0,199,239,257,243
1630,228.0,241.0,199,239,257,243
1661,228.5,241.5,199,239,258,244
1692,228.5,241.5,200,239,257,244
1723,228.0,241.5,199,239,257,244
1755,228.0,241.5,199,239,257,244
1784,227.0,242.0,198,240,256,244
1816,227.0,241.5,198,240,256,243
1847,227.0,242.0,197,240,257,244
1880,227.0,242.0,198,240,256,244
1911,226.0,242.0,197,240,255,244
1940,226.5,242.0,197,240,256,244
1970,226.5,242.0,197,240,256,244
2019,226.5,242.0,197,240,256,244
2050,228.0,241.5,199,239,257,244
2080,228.0,241.0,199,239,257,243
2112,228.0,241.5,199,239,257,244
2142,228.0,241.5,199,239,257,244
2174,228.0,242.0,199,240,257,244
2203,228.0,241.5,199,239,257,244
2234,228.5,241.5,200,239,257,244
2264,228.5,242.0,200,240,257,244
2294,228.0,241.5,199,239,257,244
2324,228.0,241.5,199,239,257,244
2371,228.0,241.0,199,239,257,243
2403,227.5,241.5,198,240,257,243
2449,228.0,242.0,199,240,257,244
2480,227.5,241.0,198,239,257,243
2511,228.0,242.0,199,240,257,244
2542,228.0,241.5,199,239,257,244
2572,227.0,242.0,197,240,257,244
2603,226.0,242.0,196,240,256,244
2635,225.5,242.5,196,240,255,245
2664,226.0,242.0,196,240,256,244
2697,226.0,242.0,197,240,255,244
2728,225.5,242.5,196,240,255,245
2774,225.0,242.5,195,240,255,245
2807,225.0,242.5,196,241,254,244
2838,225.0,242.5,195,241,255,244
2867,225.5,242.5,196,241,255,244
2900,224.5,242.0,194,240,255,244
2931,224.5,242.0,195,240,254,244
2962,224.5,243.0,195,241,254,245
3009,224.5,242.5,195,241,254,244
3041,225.0,243.0,195,241,255,245
3071,224.5,243.0,195,241,254,245
3103,224.5,243.0,195,241,254,245
3135,225.0,242.5,195,241,255,244
3164,225.0,243.0,195,241,255,245
3196,225.5,243.0,196,241,255,245
3227,225.0,242.5,195,241,255,244
3258,225.0,243.0,196,241,254,245
3287,226.0,242.5,196,241,256,244
3318,225.5,243.0,196,241,255,245
3366,225.5,243.0,196,241,255,245
3398,226.5,243.0,197,241,256,245
3442,226.5,243.0,197,241,256,245
3472,226.5,243.0,197,241,256,245
3505,227.0,243.0,197,241,257,245
3535,226.5,243.0,197,241,256,245
3565,226.5,243.0,197,241,256,245
3595,227.5,243.5,198,241,257,246
3629,226.5,243.0,197,241,256,245
3659,227.0,243.0,197,241,257,245
3703,227.5,244.0,197,242,258,246
3736,227.5,244.0,198,242,257,246
3765,227.5,243.5,198,241,257,246
3796,227.5,244.0,198,242,257,246
3826,227.5,243.5,198,241,257,246
3874,227.5,243.5,198,241,257,246
3905,227.5,243.5,198,241,257,246
3934,228.5,243.5,199,241,258,246
3966,228.0,243.5,198,241,258,246
3997,227.0,243.5,197,241,257,246
4028,226.5,244.0,197,242,256,246
4059,227.5,243.5,198,241,257,246
4091,227.0,243.5,197,242,257,245
4122,227.5,243.0,198,241,257,245
4152,226.5,243.5,197,241,256,246
4183,227.0,244.0,198,242,256,246
4214,227.5,243.5,198,242,257,245
4246,227.0,244.0,198,242,256,246
4308,227.0,243.5,197,241,257,246
4339,227.5,243.5,198,241,257,246
4371,227.5,243.0,198,241,257,245
4402,227.5,243.5,198,241,257,246
4432,228.0,243.5,198,241,258,246
4510,228.0,243.5,199,241,257,246
4543,227.0,244.0,197,242,257,246
4572,227.0,243.5,197,241,257,246
4604,228.0,244.0,199,242,257,246
4634,227.5,244.0,198,242,257,246
4664,226.5,244.0,197,242,256,246
4697,227.0,244.0,198,242,256,246
4727,228.0,244.0,198,242,258,246
4760,227.5,243.5,197,241,258,246
4789,227.5,244.0,198,242,257,246
4820,227.0,244.0,197,242,257,246
4852,228.0,244.0,198,242,258,246
4882,228.0,244.0,199,242,257,246
4913,227.0,244.0,197,242,257,246
4945,228.0,244.5,198,242,258,247
4976,227.0,244.0,198,242,256,246
5006,228.0,244.5,199,242,257,247
5038,228.0,244.0,198,242,258,246
5069,227.0,244.0,197,242,257,246
5100,227.5,244.0,198,242,257,246
5131,227.0,244.0,197,242,257,246
5163,227.0,244.0,197,242,257,246
5195,227.0,244.0,197,242,257,246
5226,228.5,244.0,199,242,258,246
5256,227.5,243.0,198,241,257,245
5288,228.0,243.5,198,241,258,246
5321,228.5,243.5,199,242,258,245
5351,228.5,243.0,199,241,258,245
5381,228.5,243.0,199,241,258,245
5428,228.0,243.0,198,241,258,245
5463,228.5,243.0,199,241,258,245
5491,228.5,243.0,199,241,258,245
5538,228.0,243.0,199,241,257,245
5568,228.5,243.0,199,241,258,245
5599,228.0,243.0,199,241,257,245
5630,228.5,243.0,199,241,258,245
5661,228.5,243.0,199,241,258,245
5692,228.0,242.5,199,240,257,245
5723,228.5,242.0,199,240,258,244
5756,228.0,243.0,199,241,257,245
5786,228.0,242.0,199,240,257,244
5818,228.5,243.0,199,241,258,245
5850,228.5,243.0,199,241,258,245
5881,228.0,243.5,199,242,257,245
5911,228.0,244.0,198,242,258,246
5958,228.0,244.0,199,242,257,246
5989,227.5,244.0,197,242,258,246
6035,225.5,245.0,195,243,256,247
6068,224.0,246.0,196,244,252,248
6100,223.5,247.0,195,245,252,249
6130,225.0,246.0,195,244,255,248
6162,225.5,246.0,196,244,255,248
6193,224.5,245.5,195,243,254,248
6225,226.0,245.0,196,243,256,247
6256,225.5,245.0,195,243,256,247
6288,226.5,245.0,196,243,257,247
6319,227.0,245.0,196,243,258,247
6352,227.5,244.5,198,242,257,247
6397,227.0,244.0,197,242,257,246
6428,227.5,244.5,197,242,258,247
6460,227.5,244.5,198,242,257,247
6491,227.5,244.5,198,242,257,247
6522,228.5,244.5,198,242,259,247
6632,228.0,244.5,197,242,259,247
6663,227.5,245.0,198,243,257,247
6696,228.5,244.5,199,242,258,247
6726,228.0,245.0,198,243,258,247
6756,228.5,245.0,199,243,258,247
6789,228.5,244.5,198,242,259,247
6818,228.0,245.0,198,243,258,247
6848,228.0,245.0,198,243,258,247
6880,228.5,245.5,199,243,258,248
6911,229.0,244.5,199,242,259,247
6941,228.0,245.0,198,243,258,247
6971,229.0,244.0,200,242,258,246
7005,229.5,244.0,200,242,259,246
7035,228.5,244.0,199,242,258,246
7067,229.5,244.0,200,242,259,246
7097,229.5,244.0,200,242,259,246
7129,229.5,244.0,200,242,259,246
7160,229.5,244.0,200,242,259,246
7190,229.5,244.0,200,242,259,246
7219,229.5,244.0,200,242,259,246
7252,229.5,244.0,200,242,259,246
7302,228.0,245.5,198,243,258,248
7345,228.0,245.5,198,243,258,248
7375,227.0,245.0,197,243,257,247
7406,227.5,245.0,197,243,258,247
7435,226.5,245.0,197,243,256,247
7513,227.0,245.0,197,243,257,247
7544,226.5,245.5,196,243,257,248
7575,227.0,245.0,197,243,257,247
7606,227.5,245.0,198,243,257,247
7638,226.5,245.0,197,243,256,247
7670,227.5,245.0,198,243,257,247
7700,227.0,245.0,197,243,257,247
7732,227.0,245.0,197,243,257,247
7762,227.0,245.0,197,243,257,247
7794,227.0,245.0,197,243,257,247
7824,227.0,244.5,197,243,257,246
7855,227.0,245.0,197,243,257,247
7886,227.0,245.0,197,243,257,247
7918,226.5,245.5,197,243,256,248
7947,226.5,245.0,197,243,256,247
7978,227.5,244.0,198,242,257,246
8011,228.0,244.5,199,242,257,247
8042,228.0,244.0,199,242,257,246
8071,227.5,244.0,198,242,257,246
8104,228.0,244.0,198,242,258,246
8134,228.5,244.0,199,242,258,246
8167,228.0,244.0,199,242,257,246
8197,228.5,244.5,199,242,258,247
8231,228.5,244.5,199,242,258,247
8259,228.5,244.5,199,242,258,247
8291,229.0,244.0,199,242,259,246
8323,229.0,245.0,200,243,258,247
8354,229.0,244.5,199,242,259,247
8385,228.5,244.5,199,242,258,247
8418,229.0,245.0,199,243,259,247
8448,229.5,244.5,200,242,259,247
8479,228.5,245.5,199,243,258,248
8526,228.5,246.0,199,244,258,248
8559,228.0,246.0,198,244,258,248
8590,228.0,246.0,198,244,258,248
8621,228.0,246.0,198,244,258,248
8653,228.0,246.5,198,244,258,249
8683,228.0,246.0,198,244,258,248
8714,228.0,245.5,198,243,258,248
8745,228.0,245.0,199,243,257,247
8775,228.0,245.5,198,243,258,248
8806,227.5,246.0,198,244,257,248
8840,228.0,245.5,198,244,258,247
8869,227.5,246.0,198,244,257,248
8902,227.5,246.0,198,244,257,248
8962,227.5,246.0,197,244,258,248
8993,228.0,246.0,198,244,258,248
9023,228.0,246.0,198,244,258,248
9053,227.0,246.0,197,244,257,248
9083,227.5,246.0,198,244,257,248
9116,227.5,246.0,198,244,257,248
9146,228.5,245.5,199,243,258,248
9177,228.0,246.0,198,244,258,248
9209,228.0,246.0,198,244,258,248
9241,228.0,246.0,198,244,258,248
9271,228.0,246.0,198,244,258,248
9302,228.5,246.0,199,244,258,248
9350,228.0,246.0,198,244,258,248
9396,228.5,245.5,199,243,258,248
9428,228.0,246.0,198,244,258,248
9460,228.5,246.0,199,244,258,248
9491,228.0,246.0,198,244,258,248
9522,229.0,246.5,199,244,259,249
9568,228.5,246.0,199,244,258,248
9601,228.0,246.0,198,244,258,248
9633,229.0,246.5,199,244,259,249
9674,228.5,246.5,199,244,258,249
9709,228.0,246.5,198,244,258,249
9740,228.0,246.5,198,244,258,249
9769,227.0,246.5,197,244,257,249
9802,228.0,246.5,198,244,258,249
9832,228.0,246.0,198,244,258,248
9863,228.0,246.0,198,244,258,248
9895,228.5,246.5,198,244,259,249
9926,228.0,246.0,198,244,258,248
9957,228.0,246.5,198,244,258,249
9986,227.5,246.0,198,244,257,248
10019,228.0,246.5,198,244,258,249
10051,226.5,246.5,197,244,256,249
10082,227.5,246.0,197,244,258,248
10114,227.5,246.0,198,244,257,248
10144,228.0,246.0,198,244,258,248
10176,228.0,245.0,198,243,258,247
10222,228.5,245.5,199,243,258,248
10254,228.5,246.0,199,244,258,248
10284,228.5,246.0,199,244,258,248
10316,228.0,245.5,199,243,257,248
10347,228.5,245.5,199,243,258,248
10380,227.5,245.0,198,243,257,247
10409,227.5,246.0,198,244,257,248
10441,227.5,246.0,198,244,257,248
10472,225.5,246.0,196,244,255,248
10518,224.5,245.5,195,243,254,248
10550,223.5,245.0,194,243,253,247
10643,222.5,244.0,193,242,252,246
10721,222.0,245.0,192,242,252,248
10751,222.0,245.5,192,243,252,248
10784,221.5,245.5,192,243,251,248
10816,221.5,245.5,192,243,251,248
10846,221.5,246.0,192,243,251,249
10877,220.5,244.5,191,242,250,247
10909,221.0,244.5,192,242,250,247
10939,221.5,244.0,192,242,251,246
10970,222.0,244.5,193,242,251,247
11001,222.5,243.5,193,241,252,246
11034,222.5,243.5,193,241,252,246
11093,223.0,243.0,193,240,253,246
11122,222.5,242.5,193,240,252,245
11153,222.5,242.5,193,240,252,245
11184,223.5,242.5,194,240,253,245
11214,223.5,242.5,194,239,253,246
11246,223.5,243.0,194,240,253,246
11277,224.0,242.5,194,240,254,245
11308,224.5,242.5,195,239,254,246
11339,224.5,242.0,195,239,254,245
