n,x,y
10491,325.5,220.5
10521,326.5,220.5
10551,326.0,219.5
10586,327.0,219.0
10615,327.0,219.5
10648,327.0,219.5
10679,326.0,219.0
10707,326.0,219.0
10738,325.0,219.0
10768,324.0,218.0
10798,323.0,220.0
10830,322.0,220.0
10861,320.5,221.0
10891,319.5,220.0
10923,319.0,221.0
10953,319.0,221.0
10984,319.5,221.0
11016,318.5,221.0
11050,317.5,221.0
11079,317.0,221.5
11110,316.0,221.5
11141,315.5,222.0
11171,314.0,221.5
11204,313.0,221.5
11235,311.5,220.5
11265,311.5,221.0
11295,311.5,220.0
11327,312.5,221.5
11357,312.0,221.5
11405,311.5,221.0
11438,311.0,221.0
11485,310.5,220.5
11515,310.5,221.0
11547,311.0,221.0
11580,310.5,220.5
11610,312.0,221.0
11641,313.0,221.5
11671,313.5,222.0
11700,314.0,222.0
11732,314.0,222.0
11762,314.5,222.0
11810,314.5,222.5
11841,314.5,222.5
11872,315.0,224.0
11904,314.0,226.0
11936,314.0,226.0
11968,314.5,225.5
11998,316.0,224.5
12031,315.5,224.0
12064,314.5,224.0
12093,314.0,224.0
12124,313.0,223.5
12155,312.5,223.5
12186,314.5,222.5
12249,314.0,222.5
12279,315.0,221.5
12311,315.5,221.5
12344,316.0,220.5
12373,317.5,220.0
12405,319.5,220.0
12435,321.0,219.5
12467,322.0,219.0
12497,323.5,219.5
12529,325.0,220.0
12561,327.5,219.5
12593,330.0,219.5
12624,332.5,219.0
12669,334.5,218.5
12716,336.5,215.5
12748,338.0,214.5
12778,338.0,214.5
12810,338.5,215.0
12842,339.0,215.5
12873,338.5,215.5
12903,337.5,216.5
12934,336.5,217.5
12965,336.0,218.0
12996,335.0,218.5
13027,334.0,220.5
13057,333.0,223.5
13105,333.0,222.0
13137,332.5,219.5
13168,330.5,218.5
13199,329.5,219.5
13232,330.5,219.5
13261,331.0,220.5
13293,332.0,221.0
13323,333.5,221.5
13370,334.5,222.5
13402,334.0,223.0
13431,335.0,222.5
13463,337.0,221.5
13510,338.0,222.0
13541,339.0,222.0
13571,340.5,223.5
13602,341.5,223.0
13635,342.5,222.0
13665,344.0,221.0
13697,346.0,220.0
13728,348.0,218.0
13759,349.0,217.0
13789,350.5,215.5
13820,351.5,214.5
13866,353.0,213.5
13896,355.0,211.0
13940,356.0,210.0
13972,357.5,209.0
14003,359.0,207.5
14033,361.0,207.0
14065,362.5,206.0
14096,363.5,207.5
14129,365.5,209.5
14159,365.0,212.5
14190,364.5,215.0
14221,363.0,218.5
14253,361.0,221.5
14299,358.5,225.0
14329,355.0,228.5
14375,352.5,232.5
14407,349.5,236.5
14438,346.5,240.5
14469,344.0,244.0
14500,342.0,247.0
14531,339.5,249.0
14561,338.0,250.5
14592,336.5,252.0
14623,335.0,253.0
14654,334.0,254.5
