n,x,y
1078,310.5,214.0
1145,310.5,212.5
1191,310.5,213.5
1233,311.0,211.5
1280,310.5,213.5
1323,311.0,210.5
1375,311.5,212.0
1421,311.5,211.0
1465,311.5,211.5
1512,311.5,211.5
1559,311.0,211.0
1605,309.0,210.5
1654,309.0,210.5
1697,309.0,212.0
1730,308.5,210.5
1777,308.0,210.5
1820,308.5,211.0
1852,308.0,211.0
1898,307.5,211.0
1929,308.5,212.0
1960,308.5,211.5
1992,308.0,211.5
2023,309.0,212.0
2070,309.0,212.5
2099,309.0,212.5
2131,309.0,212.0
2162,309.0,211.5
2194,309.0,212.0
2228,309.0,211.0
2257,309.0,211.5
2288,310.0,211.0
2320,310.0,212.0
2350,310.0,212.0
2380,310.0,212.0
2412,309.5,211.5
2443,309.0,211.0
2474,309.0,211.0
2506,309.0,210.5
2535,308.0,210.5
2566,309.0,210.5
2598,309.0,211.0
2628,308.5,210.5
2659,308.5,211.0
2689,309.0,210.0
2721,308.5,211.0
2752,309.0,210.0
2787,309.0,211.0
2829,308.5,210.0
2864,308.5,210.5
2908,309.0,211.5
2939,308.5,214.5
2970,309.0,214.5
3000,309.5,215.5
3032,309.0,215.0
3063,308.5,214.5
3093,309.0,214.5
3125,308.0,214.5
3156,307.5,214.5
3187,308.5,214.0
3234,308.5,215.0
3266,308.0,215.0
3297,308.0,215.0
3326,308.0,214.5
3358,308.0,214.5
3390,308.0,215.0
3420,308.5,218.0
3450,308.0,218.5
3481,308.0,218.0
3513,308.5,215.5
3543,308.5,214.5
3575,308.0,213.5
3606,307.5,213.0
3636,306.5,211.5
3668,307.0,210.5
3700,305.0,210.0
3731,306.5,212.0
3760,306.0,212.5
3792,307.0,213.0
3823,307.0,214.0
3852,309.0,215.0
3883,308.5,218.5
3915,307.5,219.5
3946,308.5,220.0
3978,309.5,219.5
4009,311.0,219.5
4039,311.0,219.5
4070,310.5,218.0
4101,310.0,217.5
4146,310.5,217.0
4178,310.5,214.0
4226,310.5,212.0
4257,311.0,210.5
4286,311.0,210.5
4318,311.0,210.0
4348,311.5,211.5
4379,311.0,217.0
4411,311.0,214.5
4442,312.5,213.0
4474,312.0,210.0
4503,312.0,209.5
4536,310.5,209.5
4566,310.0,209.5
4597,310.5,210.0
4660,310.0,209.0
4690,309.5,209.5
4721,310.0,209.5
4756,310.0,209.0
4799,310.0,209.5
4829,309.5,209.0
4866,312.0,212.0
4905,310.0,214.0
4937,310.5,214.5
4967,311.5,212.5
4998,310.0,210.0
5029,309.5,210.0
5061,309.5,210.0
5091,310.0,209.0
5121,309.5,210.0
5151,310.5,210.5
5184,309.0,218.5
5214,308.0,219.5
5245,307.5,219.0
5277,309.0,217.0
5308,309.0,216.0
5340,309.0,214.5
5369,308.5,213.0
5401,308.0,212.0
5431,307.0,211.0
5477,307.5,212.0
5511,307.5,211.5
5545,308.0,211.5
5586,307.5,211.5
5618,307.5,212.0
5649,308.0,218.5
5680,307.5,219.0
5712,307.5,219.0
5742,308.5,218.0
5774,309.0,217.0
5804,309.5,215.5
5835,309.5,213.5
5868,308.5,213.5
5915,308.5,212.0
5945,308.5,212.0
5978,309.0,217.5
6008,307.5,219.0
6042,307.5,219.5
6071,307.0,217.5
6102,308.5,218.0
6133,309.5,215.5
6166,310.0,212.5
6206,309.5,210.5
6244,308.5,210.0
6354,308.0,210.0
6386,308.0,210.0
6417,307.5,209.0
6448,307.5,209.0
6478,307.5,209.0
6511,308.0,209.0
6542,307.5,209.5
6571,307.5,209.0
6603,307.5,210.0
6633,307.5,210.5
6665,308.5,211.0
6695,309.0,216.5
6725,310.0,217.5
6758,309.5,219.0
6788,310.0,219.0
6819,310.5,219.0
6849,311.0,218.5
6881,311.0,218.5
6910,311.5,217.5
6944,311.5,217.5
6974,311.5,216.5
7003,311.5,216.5
7035,311.5,215.0
7065,311.5,214.0
7098,312.0,213.5
7129,311.0,213.5
7160,311.0,213.5
7193,309.5,215.0
7224,309.0,215.0
7284,308.5,216.0
7315,308.0,216.0
7346,308.0,216.5
7380,308.0,216.5
7409,307.0,216.5
7440,306.5,215.5
7473,306.0,215.0
7503,306.0,213.0
7533,305.0,213.5
7562,305.5,213.0
7594,306.0,212.5
7627,305.5,211.5
7657,305.0,211.5
7687,305.0,211.5
7717,305.0,211.0
7749,305.0,211.5
7780,305.0,211.0
7811,304.5,212.0
7843,305.0,213.0
7876,304.5,213.0
7905,305.0,213.5
7937,304.5,214.0
7969,305.0,214.0
7998,305.0,213.0
8044,304.5,213.0
8076,304.0,212.5
8108,305.0,213.0
8140,304.5,213.5
8170,305.0,212.0
8200,305.0,211.5
8233,305.0,211.5
8265,304.5,211.5
8328,305.0,212.5
8359,305.5,213.0
8389,305.0,211.5
8422,305.0,211.0
8468,305.0,211.0
8498,305.0,210.5
8530,304.5,211.5
8562,304.5,211.0
8592,305.0,211.5
8623,305.0,211.0
8666,305.0,210.0
8708,305.5,209.5
8757,305.5,209.0
8796,305.5,209.0
8825,305.5,209.5
8855,305.0,209.5
8886,306.5,209.0
8916,305.5,209.0
8947,306.0,209.5
8980,306.0,209.5
9011,306.5,209.0
9042,305.5,209.5
9073,306.5,209.5
9104,306.0,210.0
9135,307.0,213.0
9166,307.0,213.5
9201,307.0,213.0
9244,307.5,213.5
9276,307.0,213.5
9305,307.0,213.0
9366,306.0,213.0
9397,307.0,213.0
9429,306.5,213.0
9459,306.0,214.0
9490,306.0,213.0
9523,306.0,212.5
9553,306.5,213.0
9584,306.5,213.5
9616,306.5,215.0
9648,307.0,216.0
9680,308.0,217.0
9710,307.5,217.5
9742,308.0,217.5
9773,307.5,217.5
9805,307.5,217.5
9835,308.0,217.5
9866,307.5,217.0
9899,308.0,217.5
9931,308.0,217.5
9960,308.0,217.5
9992,307.0,217.5
10024,308.0,218.0
10073,307.0,216.0
10121,306.5,212.0
10163,306.0,210.5
10194,307.0,211.0
10225,306.0,210.5
10258,306.0,211.0
10287,306.5,210.5
10321,307.0,210.5
10351,307.0,210.5
10382,307.5,211.0
10411,307.5,211.0
10442,308.0,212.0
10475,310.0,209.5
10506,309.5,211.0
10536,309.5,214.0
10567,309.0,216.0
10598,309.0,217.0
10628,309.0,216.5
10659,307.5,218.0
10691,307.5,218.0
10725,306.5,217.5
10753,307.0,217.0
10786,306.5,216.5
10816,307.5,217.0
10861,306.5,215.0
10893,305.5,212.0
10924,307.5,208.0
10956,308.0,207.0
11001,307.5,206.5
11034,306.5,207.0
11063,307.0,206.5
11095,306.5,207.0
11129,306.5,206.5
11161,306.0,206.0
11190,306.0,206.0
11224,306.0,205.5
11254,306.0,205.0
11285,305.5,205.0
11317,305.5,205.5
11347,305.0,206.0
11378,304.5,205.5
11441,305.0,206.5
11474,305.0,206.5
11505,304.5,207.5
11538,304.5,208.0
11569,304.5,208.0
11600,304.0,209.0
11629,302.5,209.0
11662,303.0,208.5
11693,302.5,209.0
11724,302.5,208.5
11756,302.0,208.5
11788,300.5,208.0
11834,300.5,208.0
11864,300.5,208.0
11895,300.5,208.0
11928,300.0,208.0
11958,299.5,208.0
11990,299.5,208.5
12022,299.0,208.5
12053,298.0,210.5
12084,298.5,211.0
12114,298.5,211.0
12145,298.5,211.0
12178,299.0,211.0
12210,299.0,211.5
12258,299.0,211.5
12291,299.5,211.5
12321,299.5,211.5
12352,299.5,210.5
12380,299.5,210.5
12411,300.0,210.5
12458,300.5,210.5
12508,300.0,210.5
12539,300.5,210.5
12569,300.5,210.0
12600,301.0,210.0
12632,301.0,209.5
12662,301.0,209.5
12694,301.5,210.0
12725,302.0,208.5
12756,301.5,208.5
12787,301.5,209.0
12822,301.5,209.0
12852,301.5,209.0
12883,301.5,209.0
12913,302.0,209.0
12944,302.5,209.0
12975,302.5,208.5
13011,302.5,208.5
13060,302.5,208.5
13091,303.5,208.5
13140,303.5,208.5
13182,303.5,208.5
13213,304.0,212.5
13245,302.0,215.5
13275,304.0,209.0
13321,304.0,209.0
13354,304.0,208.0
13384,304.0,208.5
13417,303.0,208.5
13446,303.0,208.5
13477,303.5,208.5
13508,302.5,208.5
13539,302.5,208.5
13571,303.0,208.0
13600,303.0,208.5
13635,302.5,208.5
13664,302.5,209.0
13694,303.5,209.0
13728,302.5,209.5
13756,303.0,209.0
13786,303.0,209.0
13818,303.5,209.5
13849,303.0,209.0
13880,303.0,209.0
13910,303.0,209.5
13959,303.0,209.0
14003,303.5,209.0
14035,303.5,209.0
14066,303.5,209.0
14096,303.5,209.0
14127,303.0,209.0
14158,303.0,208.5
14189,303.0,208.5
14220,302.0,208.5
14250,302.5,209.0
14282,302.5,208.5
14312,302.5,209.0
14343,303.0,209.5
14391,302.0,209.5
14422,303.0,211.0
14452,302.5,210.0
14497,301.5,208.5
14530,300.0,207.5
14577,298.5,206.0
14609,296.5,204.5
14642,295.0,203.5
14672,292.0,202.0
14703,289.0,200.5
14734,286.0,199.5
14764,282.0,198.0
14793,278.0,197.0
14827,274.0,196.5
14857,270.0,196.5
14889,265.5,196.5
14918,260.0,197.0
14951,255.0,197.5
14981,250.0,198.0
15015,247.0,197.5
15059,246.0,198.0
15090,239.5,201.5
15122,232.0,203.5
15153,229.0,204.0
15183,222.0,205.0
15230,218.5,207.0
15261,218.0,206.5
15291,213.5,204.5
15323,214.5,201.5
15352,214.0,202.0
15383,214.0,204.0
15416,214.0,204.5
15462,210.0,207.0
15493,203.5,206.5
15562,205.5,243.5
15603,206.5,227.5
15635,206.0,213.0
15666,206.0,207.0
15696,209.5,200.0
15726,209.0,196.5
15757,208.0,200.0
15789,209.0,206.0
15821,209.0,209.0
15852,209.5,206.5
15896,210.0,201.0
15926,210.0,197.0
15961,212.0,198.5
15992,212.0,203.5
16024,213.0,208.5
16053,214.0,209.0
16099,213.5,203.0
16130,213.5,192.5
16161,213.5,183.0
16191,212.5,176.5
16223,213.5,172.0
16254,214.0,165.5
16284,214.5,157.0
16315,214.5,147.0
16346,212.0,137.5
16378,211.0,125.5
16414,211.0,117.0
16442,211.0,114.5
16472,205.0,115.5
16518,212.5,116.5
16552,216.0,118.5
16583,216.0,123.0
16752,216.0,125.5
16783,216.5,129.0
16813,215.5,131.0
16845,215.0,130.5
16876,214.0,129.0
16907,213.0,128.5
16939,213.0,128.5
16970,212.5,129.0
17003,212.0,129.5
17033,211.5,131.0
17064,212.5,138.0
17096,211.5,146.5
17126,211.5,144.0
17159,212.0,151.5
17190,211.5,141.5
17220,210.5,129.5
17251,209.5,128.5
17286,210.5,129.0
17316,212.0,130.0
17347,212.0,131.5
17393,212.0,132.5
17429,212.5,134.0
17471,211.0,141.5
17504,211.5,144.5
17534,214.5,146.0
17566,214.5,141.5
17598,214.0,136.5
17628,214.0,132.5
17659,214.0,131.5
17693,213.5,128.0
17737,215.0,123.0
17786,214.5,117.0
17818,214.5,109.0
17848,213.5,103.5
17882,213.0,98.0
17912,213.5,95.0
17943,214.0,90.0
17975,213.0,82.5
18006,211.5,75.5
18038,210.5,72.0
18069,211.5,71.0
18099,212.5,72.0
18130,212.5,72.0
18162,212.5,69.0
18194,212.5,66.5
18226,212.0,59.5
18256,210.5,50.5
18285,209.0,41.0
18320,206.5,35.5
18352,206.5,35.5
18381,206.5,37.0
18413,207.0,38.0
18444,206.5,37.5
18472,206.5,35.0
18504,207.0,34.0
18535,208.0,36.5
18569,209.0,39.5
