n,x,y,lx,ly,rx,ry
996,322.5,206.0,293,207,352,205
1036,322.5,206.5,293,208,352,205
1069,321.5,206.5,292,208,351,205
1098,321.0,207.5,292,209,350,206
1129,320.5,208.0,291,210,350,206
1160,320.5,208.0,291,210,350,206
1192,320.5,208.0,291,210,350,206
1224,320.5,208.0,291,210,350,206
1268,320.5,207.5,291,209,350,206
1300,320.5,208.0,291,210,350,206
1331,320.5,208.5,291,211,350,206
1361,321.0,208.5,292,210,350,207
1394,320.5,210.0,293,211,348,209
1424,321.0,211.0,293,212,349,210
1455,322.5,210.5,294,212,351,209
1487,323.0,209.5,294,211,352,208
1519,322.5,209.0,293,210,352,208
1549,322.0,208.5,292,210,352,207
1578,322.0,209.0,293,211,351,207
1609,322.0,209.0,292,211,352,207
1641,322.5,208.5,293,210,352,207
1673,322.5,208.5,293,210,352,207
1706,323.0,208.5,294,210,352,207
1735,322.5,208.0,293,210,352,206
1767,323.0,208.5,294,210,352,207
1815,323.5,208.0,295,209,352,207
1845,323.0,208.0,294,210,352,206
1876,322.0,208.0,293,210,351,206
1909,322.0,208.5,293,210,351,207
1939,321.5,208.5,292,210,351,207
1970,321.5,209.0,292,211,351,207
2002,320.5,208.5,291,210,350,207
2033,320.5,208.5,291,210,350,207
2065,319.5,208.5,290,210,349,207
2094,320.0,208.0,290,210,350,206
2124,319.5,208.5,290,211,349,206
2156,319.0,208.0,289,210,349,206
2187,318.5,208.0,289,210,348,206
2219,318.5,208.5,289,211,348,206
2250,319.0,209.0,290,211,348,207
2283,317.0,210.5,290,212,344,209
2327,318.0,210.5,290,212,346,209
2358,319.5,209.5,290,211,349,208
2391,319.5,209.5,290,211,349,208
2421,318.5,209.0,289,211,348,207
2452,318.5,209.0,289,211,348,207
2484,318.5,208.5,289,211,348,206
2531,318.5,208.0,289,210,348,206
2562,318.5,208.5,289,211,348,206
2594,318.5,208.5,289,211,348,206
2623,318.5,208.0,289,210,348,206
2654,318.5,208.5,289,210,348,207
2687,318.5,208.5,289,210,348,207
2717,318.5,208.0,289,210,348,206
2746,319.0,208.5,289,211,349,206
2777,318.5,208.5,289,210,348,207
2824,319.0,208.5,289,211,349,206
2856,318.5,208.0,289,210,348,206
2888,318.0,208.0,288,210,348,206
2918,318.0,208.0,288,210,348,206
2965,318.5,208.0,289,210,348,206
2997,318.5,208.0,289,210,348,206
3026,318.0,208.0,288,210,348,206
3058,318.0,208.0,288,210,348,206
3087,318.5,208.5,289,210,348,207
3118,318.5,208.0,289,210,348,206
3151,318.0,208.0,288,210,348,206
3182,318.5,208.0,289,210,348,206
3211,318.0,208.5,288,211,348,206
3244,318.5,208.0,289,210,348,206
3290,318.5,208.5,289,210,348,207
3320,319.0,210.0,291,211,347,209
3353,318.5,211.0,290,212,347,210
3400,320.0,210.0,291,211,349,209
3432,320.0,209.5,291,211,349,208
3465,319.5,209.5,290,211,349,208
3496,319.0,209.0,289,211,349,207
3526,319.5,208.0,290,210,349,206
3556,319.0,208.0,289,210,349,206
3621,319.0,208.0,289,210,349,206
3667,319.0,208.0,289,210,349,206
3697,319.0,207.5,289,209,349,206
3729,319.0,208.0,289,210,349,206
3759,319.5,208.0,290,210,349,206
3791,319.0,208.0,289,210,349,206
3820,319.5,208.0,290,210,349,206
3866,319.5,208.0,290,210,349,206
3897,319.5,208.0,290,210,349,206
3929,319.5,208.0,290,210,349,206
3958,319.5,208.0,290,210,349,206
3991,319.0,208.0,289,210,349,206
4020,319.5,208.5,290,210,349,207
4051,319.5,208.0,290,210,349,206
4083,319.5,208.0,290,210,349,206
4115,319.5,208.0,290,210,349,206
4144,319.5,208.0,290,210,349,206
4178,319.5,208.5,290,211,349,206
4208,319.5,208.0,290,210,349,206
4241,320.0,208.0,291,210,349,206
4272,319.5,208.0,290,210,349,206
4305,319.5,208.0,290,210,349,206
4334,320.0,208.0,291,210,349,206
4364,319.5,208.0,290,210,349,206
4398,319.5,208.0,290,210,349,206
4427,319.5,208.5,290,211,349,206
4459,319.5,208.0,290,210,349,206
4492,319.5,208.0,290,210,349,206
4519,319.5,208.5,290,211,349,206
4552,319.5,208.0,290,210,349,206
4584,319.5,208.0,290,210,349,206
4615,319.0,208.0,289,210,349,206
4662,319.5,208.5,290,211,349,206
4693,318.5,208.0,289,210,348,206
4725,319.0,208.0,289,210,349,206
4756,318.5,208.0,289,210,348,206
4787,318.0,208.0,288,210,348,206
4818,318.5,208.0,289,210,348,206
4848,318.5,208.0,289,210,348,206
4898,318.0,208.0,288,210,348,206
4941,318.0,208.5,288,211,348,206
4972,318.5,207.5,289,209,348,206
5002,318.0,208.0,288,210,348,206
5036,318.5,207.5,289,209,348,206
5080,318.0,208.0,288,210,348,206
5112,318.5,208.0,289,210,348,206
5143,318.5,208.0,289,210,348,206
5176,318.5,207.5,288,209,349,206
5207,318.5,208.0,288,210,349,206
5240,318.5,208.0,288,210,349,206
5284,319.0,207.5,289,209,349,206
5320,318.5,208.0,289,210,348,206
5361,318.0,208.0,288,210,348,206
5392,318.5,208.0,288,210,349,206
5424,318.5,208.0,289,210,348,206
5453,319.0,207.5,289,209,349,206
5485,320.0,209.5,291,211,349,208
5517,319.5,211.0,291,212,348,210
5547,320.5,210.0,291,211,350,209
5578,320.0,210.0,290,212,350,208
5611,319.5,208.5,290,210,349,207
5641,319.0,208.5,289,210,349,207
5672,319.0,208.5,289,211,349,206
5704,319.0,208.0,289,210,349,206
5735,319.0,208.0,289,210,349,206
5770,318.5,208.0,288,210,349,206
5800,318.5,208.0,289,210,348,206
5830,318.5,208.0,289,210,348,206
5861,318.5,208.0,289,210,348,206
5893,318.0,208.5,288,210,348,207
5923,318.0,208.5,288,210,348,207
5954,318.5,208.0,289,210,348,206
5986,318.0,208.0,288,210,348,206
6016,318.0,208.0,288,210,348,206
6049,318.0,208.0,288,210,348,206
6079,318.0,208.0,288,210,348,206
6107,318.5,208.0,289,210,348,206
6154,318.0,208.0,288,210,348,206
6186,318.0,208.0,288,210,348,206
6216,318.0,208.5,288,210,348,207
6246,318.0,208.0,288,210,348,206
6278,318.0,208.0,288,210,348,206
6307,318.0,208.0,288,210,348,206
6352,318.0,208.0,288,210,348,206
6385,318.0,208.0,288,210,348,206
6415,318.0,208.5,288,211,348,206
6447,318.0,208.0,288,210,348,206
6478,318.0,208.0,288,210,348,206
6510,318.0,208.0,288,210,348,206
6541,318.0,208.0,288,210,348,206
6572,317.5,208.0,288,210,347,206
6603,318.0,207.5,288,209,348,206
6634,317.5,208.5,288,211,347,206
6683,317.5,208.0,288,210,347,206
6713,317.0,208.5,287,211,347,206
6744,317.5,208.5,288,211,347,206
6791,317.0,208.0,287,210,347,206
6824,317.5,208.0,288,210,347,206
6854,317.5,208.0,288,210,347,206
6885,318.0,208.0,288,210,348,206
6916,318.0,208.0,288,210,348,206
6947,318.0,208.0,288,210,348,206
6977,318.0,208.0,288,210,348,206
7008,318.0,208.0,288,210,348,206
7040,319.0,209.5,290,211,348,208
7075,317.5,211.0,290,212,345,210
7117,317.0,210.5,291,212,343,209
7150,319.5,210.0,291,211,348,209
7214,319.0,208.5,290,210,348,207
7247,319.0,208.5,290,210,348,207
7277,319.0,209.0,289,211,349,207
7321,318.0,208.5,288,211,348,206
7352,318.5,208.5,289,211,348,206
7383,318.5,208.5,289,211,348,206
7415,318.5,208.5,289,211,348,206
7446,318.5,208.0,289,210,348,206
7476,318.5,208.0,289,210,348,206
7508,318.5,208.0,289,210,348,206
7538,318.0,208.0,288,210,348,206
7570,318.0,208.0,288,210,348,206
7617,318.0,208.0,288,210,348,206
7648,317.5,208.0,288,210,347,206
7678,318.5,208.0,289,210,348,206
7710,318.0,209.0,289,211,347,207
7741,317.5,211.5,290,213,345,210
7772,316.5,211.5,289,213,344,210
7803,318.5,211.0,290,212,347,210
7834,318.0,210.0,289,212,347,208
7866,318.5,209.5,289,211,348,208
7897,318.5,209.0,289,211,348,207
7928,318.0,209.0,288,211,348,207
7960,318.0,209.0,288,211,348,207
8009,317.5,208.0,287,210,348,206
8057,317.5,208.0,287,210,348,206
8087,317.5,208.0,287,210,348,206
8116,317.5,208.0,287,210,348,206
8146,317.5,208.0,287,210,348,206
8177,317.5,208.0,287,210,348,206
8208,317.0,208.0,287,210,347,206
8237,317.5,208.0,287,210,348,206
8269,317.5,208.0,287,210,348,206
8301,317.0,208.0,287,210,347,206
8332,317.0,208.0,287,210,347,206
8364,317.0,208.0,287,210,347,206
8411,317.0,208.5,287,211,347,206
8442,316.5,208.0,287,210,346,206
8472,316.5,208.0,287,210,346,206
8505,316.5,208.0,287,210,346,206
8535,316.5,208.0,287,210,346,206
8568,316.5,208.5,287,211,346,206
8600,316.5,208.0,287,210,346,206
8628,316.5,208.0,287,210,346,206
8659,316.5,207.5,287,209,346,206
8692,317.0,208.0,287,210,347,206
8722,316.5,208.0,287,210,346,206
8753,316.0,208.0,286,210,346,206
8802,317.0,208.0,287,210,347,206
8832,316.5,208.0,287,210,346,206
8879,316.5,208.0,287,210,346,206
8909,316.5,208.0,287,210,346,206
8945,316.5,208.0,287,210,346,206
8987,317.0,208.0,287,210,347,206
9019,317.0,208.0,287,210,347,206
9050,317.0,208.5,287,211,347,206
9082,317.0,208.0,287,210,347,206
9113,317.0,208.0,287,210,347,206
9144,317.0,208.0,287,210,347,206
9175,317.0,208.0,287,210,347,206
9207,317.5,208.0,288,210,347,206
9235,317.5,208.0,288,210,347,206
9267,317.0,208.0,288,210,346,206
9316,317.5,208.0,288,210,347,206
9345,319.0,209.0,290,211,348,207
9374,319.0,208.5,290,210,348,207
9407,316.5,210.5,289,212,344,209
9437,316.5,210.5,289,212,344,209
9468,317.5,209.0,289,211,346,207
9500,318.0,209.0,289,211,347,207
9532,317.5,209.0,288,211,347,207
9564,317.5,208.0,289,210,346,206
9597,317.0,208.0,288,210,346,206
9626,317.5,208.0,288,210,347,206
9657,316.5,208.0,287,210,346,206
9706,317.5,208.0,288,210,347,206
9751,317.0,208.5,287,211,347,206
9784,316.5,208.0,287,210,346,206
9817,317.0,208.0,287,210,347,206
9849,317.5,208.0,288,210,347,206
9894,317.0,208.5,287,211,347,206
9925,317.5,208.0,288,210,347,206
9954,317.5,208.0,288,210,347,206
9986,317.5,208.0,288,210,347,206
10018,318.0,207.5,289,209,347,206
10048,318.0,208.0,289,210,347,206
10081,318.0,208.0,289,210,347,206
10109,318.0,208.0,289,210,347,206
10141,318.5,208.0,290,210,347,206
10171,318.0,208.0,289,210,347,206
10205,318.0,208.0,289,210,347,206
10234,318.0,207.5,289,210,347,205
10268,318.5,207.5,290,209,347,206
10300,318.0,208.0,289,210,347,206
10329,318.5,207.5,290,209,347,206
10359,318.0,208.5,289,211,347,206
10409,318.5,207.5,290,209,347,206
10437,319.0,207.5,290,209,348,206
10468,318.0,208.0,289,210,347,206
10502,318.0,208.0,289,210,347,206
10532,318.0,208.0,289,210,347,206
10577,318.0,207.5,289,209,347,206
10610,319.0,208.0,290,210,348,206
10640,318.5,208.0,290,210,347,206
10669,319.0,208.0,290,210,348,206
10702,318.5,207.5,290,209,347,206
10734,319.0,208.0,290,210,348,206
10767,319.0,207.5,290,209,348,206
10797,318.0,208.0,289,210,347,206
10825,318.5,207.5,290,209,347,206
10872,318.5,207.5,290,209,347,206
10904,318.0,207.5,289,209,347,206
10935,318.0,207.5,289,209,347,206
10967,319.5,207.5,290,209,349,206
11016,320.5,207.5,291,209,350,206
11045,320.5,207.5,291,209,350,206
11075,320.5,207.5,291,209,350,206
11108,320.5,207.5,291,209,350,206
11138,320.5,207.5,291,209,350,206
11169,320.5,207.5,291,209,350,206
11202,321.0,207.5,291,209,351,206
11232,321.0,207.5,291,209,351,206
11262,321.0,207.5,291,209,351,206
11296,321.0,207.5,291,209,351,206
11324,321.5,207.5,292,209,351,206
11357,321.0,207.5,291,209,351,206
11388,321.5,207.5,292,209,351,206
11434,321.5,207.5,292,209,351,206
11481,321.5,207.5,292,209,351,206
11513,321.5,207.5,292,209,351,206
11544,321.5,207.5,292,209,351,206
11574,321.5,207.5,292,209,351,206
11606,321.0,207.5,291,209,351,206
11636,321.5,207.5,292,209,351,206
11668,320.5,207.5,291,209,350,206
11700,319.5,207.0,290,209,349,205
11732,320.0,207.5,291,209,349,206
11761,319.5,207.5,290,209,349,206
11793,320.0,207.5,291,209,349,206
11838,320.0,207.0,291,209,349,205
11870,320.0,207.0,291,209,349,205
11902,320.0,207.0,291,209,349,205
11933,320.0,207.0,291,209,349,205
11965,320.0,207.0,291,209,349,205
11998,320.0,206.5,291,208,349,205
12025,320.0,207.5,291,209,349,206
12059,320.0,207.5,291,209,349,206
12105,320.0,207.5,291,209,349,206
12136,320.5,207.0,291,209,350,205
12166,320.0,207.0,291,209,349,205
12199,320.0,207.0,291,209,349,205
12230,320.5,207.5,291,209,350,206
12276,320.0,207.0,291,209,349,205
12309,320.0,207.5,291,209,349,206
12340,320.5,207.5,291,209,350,206
12369,320.5,207.0,291,209,350,205
12401,320.5,206.5,291,208,350,205
12433,320.5,207.0,291,209,350,205
12463,320.5,207.0,291,209,350,205
12496,321.0,207.0,292,209,350,205
12524,321.0,207.0,292,209,350,205
12557,320.0,206.5,291,208,349,205
12602,321.0,206.5,292,208,350,205
12633,320.0,207.0,291,209,349,205
12665,320.5,206.5,291,208,350,205
12712,320.0,207.0,291,209,349,205
12743,320.0,206.5,291,208,349,205
12774,320.0,206.5,291,208,349,205
12808,320.5,206.5,291,208,350,205
12836,320.0,207.0,291,209,349,205
12867,320.0,207.0,291,209,349,205
12899,320.0,207.0,291,209,349,205
12929,319.5,207.0,290,209,349,205
12961,320.0,206.5,291,208,349,205
12993,320.5,207.0,291,209,350,205
