n,x,y,lx,ly,rx,ry
693,345.0,319.0,313,320,377,318
719,342.5,319.5,311,321,374,318
735,343.0,319.0,311,320,375,318
749,343.0,319.0,311,320,375,318
764,343.0,319.0,311,320,375,318
786,343.0,319.0,311,320,375,318
822,343.0,319.0,311,320,375,318
852,343.0,319.0,311,320,375,318
883,343.0,318.5,311,320,375,317
915,344.0,318.5,313,320,375,317
950,344.5,319.0,313,320,376,318
981,344.5,319.0,313,320,376,318
1010,344.5,319.5,313,321,376,318
1048,344.5,319.5,313,321,376,318
1080,345.5,319.5,314,321,377,318
1108,345.5,320.0,314,321,377,319
1141,346.0,319.5,315,321,377,318
1173,346.5,320.0,315,321,378,319
1219,347.5,320.0,316,321,379,319
1255,347.5,320.0,316,321,379,319
1285,348.5,322.0,318,323,379,321
1315,346.5,325.0,317,326,376,324
1346,346.5,325.5,317,326,376,325
1380,349.0,323.5,319,324,379,323
1409,349.0,322.5,319,324,379,321
1442,349.0,322.0,319,323,379,321
1478,349.5,321.5,319,323,380,320
1508,349.5,321.5,319,323,380,320
1538,350.0,321.5,320,323,380,320
1571,350.5,321.5,320,323,381,320
1629,351.5,321.5,321,323,382,320
1649,351.5,321.5,321,323,382,320
1684,351.5,321.5,321,323,382,320
1730,351.5,321.5,321,323,382,320
1760,351.5,322.0,321,323,382,321
1790,352.0,322.0,321,323,383,321
1820,352.5,321.5,322,323,383,320
1851,352.0,321.5,321,323,383,320
1883,352.0,321.0,321,322,383,320
1913,352.5,321.0,322,322,383,320
1945,352.0,322.0,321,323,383,321
1975,352.0,321.5,321,323,383,320
2006,352.0,322.0,321,323,383,321
2051,352.0,322.0,321,323,383,321
2098,352.0,322.0,321,323,383,321
2127,352.0,322.0,321,323,383,321
2158,352.5,322.5,322,324,383,321
2189,352.5,322.5,322,324,383,321
2220,351.5,323.5,323,324,380,323
2249,349.0,326.0,320,327,378,325
2280,348.5,325.5,320,326,377,325
2310,351.0,324.5,321,325,381,324
2359,351.5,323.0,322,324,381,322
2388,352.0,323.0,322,324,382,322
2418,351.5,322.5,322,324,381,321
2452,351.5,322.5,321,324,382,321
2497,351.5,322.0,321,323,382,321
2529,351.5,322.5,321,324,382,321
2558,351.5,322.5,321,324,382,321
2591,351.5,322.0,321,323,382,321
2622,351.0,322.5,320,324,382,321
2652,351.0,322.0,320,323,382,321
2682,351.0,322.0,320,323,382,321
2713,351.0,322.0,320,323,382,321
2743,351.5,322.5,321,324,382,321
2775,352.0,322.5,322,324,382,321
2806,351.5,322.5,321,324,382,321
2837,351.5,322.5,321,324,382,321
2884,351.5,322.5,322,324,381,321
2914,352.0,323.0,323,324,381,322
2960,348.0,325.5,320,326,376,325
2991,348.5,325.5,319,326,378,325
3020,349.5,324.5,321,325,378,324
3052,351.5,323.0,322,324,381,322
3082,351.0,322.5,321,324,381,321
3114,351.5,322.5,321,324,382,321
3144,351.5,322.5,321,324,382,321
3175,351.5,322.5,321,324,382,321
3205,351.5,322.0,321,323,382,321
3237,351.5,322.5,321,324,382,321
3268,351.5,322.0,321,323,382,321
3330,351.0,322.0,320,323,382,321
3359,351.0,322.0,320,323,382,321
3390,351.0,322.0,320,323,382,321
3423,351.5,322.5,321,324,382,321
3454,351.5,322.0,321,323,382,321
3482,351.5,322.0,321,323,382,321
3514,351.0,322.0,320,323,382,321
3545,351.0,322.0,320,323,382,321
3573,351.0,322.0,320,323,382,321
3605,351.0,322.0,320,323,382,321
3634,351.0,322.5,320,324,382,321
3682,351.0,322.5,320,324,382,321
3714,351.0,322.0,320,323,382,321
3788,351.0,322.5,320,324,382,321
3819,351.0,322.5,320,324,382,321
3850,351.0,322.0,320,323,382,321
3881,351.0,322.5,320,324,382,321
3912,351.0,322.0,320,323,382,321
3943,350.5,322.0,320,323,381,321
3974,349.0,321.5,318,323,380,320
4006,349.0,321.0,318,322,380,320
4038,348.5,321.5,317,323,380,320
4070,349.0,321.0,318,322,380,320
4101,349.0,321.0,318,322,380,320
4129,348.5,321.0,317,322,380,320
4191,349.0,321.0,318,322,380,320
4221,349.0,321.0,318,322,380,320
4251,349.0,321.0,318,322,380,320
4284,349.0,321.0,318,322,380,320
4315,349.0,321.0,318,322,380,320
4344,349.0,321.0,318,322,380,320
4374,349.0,321.0,318,322,380,320
4406,349.0,321.0,318,322,380,320
4435,349.0,321.0,318,322,380,320
4466,350.5,322.0,319,323,382,321
4496,350.5,322.0,320,323,381,321
4529,350.5,322.0,320,323,381,321
4576,350.5,322.0,319,323,382,321
