n,x,y
996,322.5,206.0
1036,322.5,206.5
1069,321.5,206.5
1098,321.0,207.5
1129,320.5,208.0
1160,320.5,208.0
1192,320.5,208.0
1224,320.5,208.0
1268,320.5,207.5
1300,320.5,208.0
1331,320.5,208.5
1361,321.0,208.5
1394,320.5,210.0
1424,321.0,211.0
1455,322.5,210.5
1487,323.0,209.5
1519,322.5,209.0
1549,322.0,208.5
1578,322.0,209.0
1609,322.0,209.0
1641,322.5,208.5
1673,322.5,208.5
1706,323.0,208.5
1735,322.5,208.0
1767,323.0,208.5
1815,323.5,208.0
1845,323.0,208.0
1876,322.0,208.0
1909,322.0,208.5
1939,321.5,208.5
1970,321.5,209.0
2002,320.5,208.5
2033,320.5,208.5
2065,319.5,208.5
2094,320.0,208.0
2124,319.5,208.5
2156,319.0,208.0
2187,318.5,208.0
2219,318.5,208.5
2250,319.0,209.0
2283,317.0,210.5
2327,318.0,210.5
2358,319.5,209.5
2391,319.5,209.5
2421,318.5,209.0
2452,318.5,209.0
2484,318.5,208.5
2531,318.5,208.0
2562,318.5,208.5
2594,318.5,208.5
2623,318.5,208.0
2654,318.5,208.5
2687,318.5,208.5
2717,318.5,208.0
2746,319.0,208.5
2777,318.5,208.5
2824,319.0,208.5
2856,318.5,208.0
2888,318.0,208.0
2918,318.0,208.0
2965,318.5,208.0
2997,318.5,208.0
3026,318.0,208.0
3058,318.0,208.0
3087,318.5,208.5
3118,318.5,208.0
3151,318.0,208.0
3182,318.5,208.0
3211,318.0,208.5
3244,318.5,208.0
3290,318.5,208.5
3320,319.0,210.0
3353,318.5,211.0
3400,320.0,210.0
3432,320.0,209.5
3465,319.5,209.5
3496,319.0,209.0
3526,319.5,208.0
3556,319.0,208.0
3621,319.0,208.0
3667,319.0,208.0
3697,319.0,207.5
3729,319.0,208.0
3759,319.5,208.0
3791,319.0,208.0
3820,319.5,208.0
3866,319.5,208.0
3897,319.5,208.0
3929,319.5,208.0
3958,319.5,208.0
3991,319.0,208.0
4020,319.5,208.5
4051,319.5,208.0
4083,319.5,208.0
4115,319.5,208.0
4144,319.5,208.0
4178,319.5,208.5
4208,319.5,208.0
4241,320.0,208.0
4272,319.5,208.0
4305,319.5,208.0
4334,320.0,208.0
4364,319.5,208.0
4398,319.5,208.0
4427,319.5,208.5
4459,319.5,208.0
4492,319.5,208.0
4519,319.5,208.5
4552,319.5,208.0
4584,319.5,208.0
4615,319.0,208.0
4662,319.5,208.5
4693,318.5,208.0
4725,319.0,208.0
4756,318.5,208.0
4787,318.0,208.0
4818,318.5,208.0
4848,318.5,208.0
4898,318.0,208.0
4941,318.0,208.5
4972,318.5,207.5
5002,318.0,208.0
5036,318.5,207.5
5080,318.0,208.0
5112,318.5,208.0
5143,318.5,208.0
5176,318.5,207.5
5207,318.5,208.0
5240,318.5,208.0
5284,319.0,207.5
5320,318.5,208.0
5361,318.0,208.0
5392,318.5,208.0
5424,318.5,208.0
5453,319.0,207.5
5485,320.0,209.5
5517,319.5,211.0
5547,320.5,210.0
5578,320.0,210.0
5611,319.5,208.5
5641,319.0,208.5
5672,319.0,208.5
5704,319.0,208.0
5735,319.0,208.0
5770,318.5,208.0
5800,318.5,208.0
5830,318.5,208.0
5861,318.5,208.0
5893,318.0,208.5
5923,318.0,208.5
5954,318.5,208.0
5986,318.0,208.0
6016,318.0,208.0
6049,318.0,208.0
6079,318.0,208.0
6107,318.5,208.0
6154,318.0,208.0
6186,318.0,208.0
6216,318.0,208.5
6246,318.0,208.0
6278,318.0,208.0
6307,318.0,208.0
6352,318.0,208.0
6385,318.0,208.0
6415,318.0,208.5
6447,318.0,208.0
6478,318.0,208.0
6510,318.0,208.0
6541,318.0,208.0
6572,317.5,208.0
6603,318.0,207.5
6634,317.5,208.5
6683,317.5,208.0
6713,317.0,208.5
6744,317.5,208.5
6791,317.0,208.0
6824,317.5,208.0
6854,317.5,208.0
6885,318.0,208.0
6916,318.0,208.0
6947,318.0,208.0
6977,318.0,208.0
7008,318.0,208.0
7040,319.0,209.5
7075,317.5,211.0
7117,317.0,210.5
7150,319.5,210.0
7214,319.0,208.5
7247,319.0,208.5
7277,319.0,209.0
7321,318.0,208.5
7352,318.5,208.5
7383,318.5,208.5
7415,318.5,208.5
7446,318.5,208.0
7476,318.5,208.0
7508,318.5,208.0
7538,318.0,208.0
7570,318.0,208.0
7617,318.0,208.0
7648,317.5,208.0
7678,318.5,208.0
7710,318.0,209.0
7741,317.5,211.5
7772,316.5,211.5
7803,318.5,211.0
7834,318.0,210.0
7866,318.5,209.5
7897,318.5,209.0
7928,318.0,209.0
7960,318.0,209.0
8009,317.5,208.0
8057,317.5,208.0
8087,317.5,208.0
8116,317.5,208.0
8146,317.5,208.0
8177,317.5,208.0
8208,317.0,208.0
8237,317.5,208.0
8269,317.5,208.0
8301,317.0,208.0
8332,317.0,208.0
8364,317.0,208.0
8411,317.0,208.5
8442,316.5,208.0
8472,316.5,208.0
8505,316.5,208.0
8535,316.5,208.0
8568,316.5,208.5
8600,316.5,208.0
8628,316.5,208.0
8659,316.5,207.5
8692,317.0,208.0
8722,316.5,208.0
8753,316.0,208.0
8802,317.0,208.0
8832,316.5,208.0
8879,316.5,208.0
8909,316.5,208.0
8945,316.5,208.0
8987,317.0,208.0
9019,317.0,208.0
9050,317.0,208.5
9082,317.0,208.0
9113,317.0,208.0
9144,317.0,208.0
9175,317.0,208.0
9207,317.5,208.0
9235,317.5,208.0
9267,317.0,208.0
9316,317.5,208.0
9345,319.0,209.0
9374,319.0,208.5
9407,316.5,210.5
9437,316.5,210.5
9468,317.5,209.0
9500,318.0,209.0
9532,317.5,209.0
9564,317.5,208.0
9597,317.0,208.0
9626,317.5,208.0
9657,316.5,208.0
9706,317.5,208.0
9751,317.0,208.5
9784,316.5,208.0
9817,317.0,208.0
9849,317.5,208.0
9894,317.0,208.5
9925,317.5,208.0
9954,317.5,208.0
9986,317.5,208.0
10018,318.0,207.5
10048,318.0,208.0
10081,318.0,208.0
10109,318.0,208.0
10141,318.5,208.0
10171,318.0,208.0
10205,318.0,208.0
10234,318.0,207.5
10268,318.5,207.5
10300,318.0,208.0
10329,318.5,207.5
10359,318.0,208.5
10409,318.5,207.5
10437,319.0,207.5
10468,318.0,208.0
