n,x,y
707,321.5,205.0
821,326.0,202.5
848,326.5,202.5
880,327.0,202.5
909,327.0,202.5
940,327.0,202.5
973,328.0,202.5
1001,328.0,202.5
1033,328.5,202.5
1064,328.5,202.5
1095,329.0,203.0
1126,329.0,203.0
1156,329.5,203.0
1188,330.0,203.5
1217,330.0,203.0
1264,330.0,203.0
1297,330.5,203.0
1327,330.0,206.5
1387,329.0,206.5
1405,329.0,206.0
1436,331.5,205.5
1466,332.0,203.0
1497,331.5,203.5
1528,331.5,202.0
1543,331.0,202.0
1590,331.0,201.5
1619,331.0,201.5
1667,331.5,202.5
1698,331.5,204.5
1728,332.5,204.0
1760,331.5,202.0
1792,331.5,199.5
1824,331.5,197.5
1853,332.5,196.5
1884,333.0,196.0
1915,332.5,195.5
1946,333.0,195.0
1978,332.5,194.5
2008,333.0,195.0
2041,332.5,195.0
2101,333.0,195.0
2258,333.0,195.0
2274,332.5,198.0
2304,332.5,197.5
2319,333.0,197.0
2350,333.0,196.5
2382,333.5,196.0
2414,333.0,196.0
2447,333.0,196.0
2477,333.0,196.5
2523,333.0,196.0
2553,333.0,198.0
2584,332.0,201.5
2616,331.5,202.5
2647,331.5,202.0
2678,332.0,199.0
2727,332.5,197.0
2758,333.0,196.5
2774,333.0,196.0
2806,333.0,196.0
2851,333.0,196.0
2881,333.0,195.5
2915,333.0,195.5
2962,333.0,195.5
2993,333.5,195.5
3027,333.0,195.5
3057,333.5,195.0
3089,333.5,200.0
3121,332.5,201.0
3152,333.5,200.0
3182,333.5,198.5
3214,334.5,196.5
3245,334.5,196.5
3275,334.5,196.0
3304,335.0,196.0
3354,335.0,196.0
3397,335.0,196.5
3445,335.0,196.0
3477,335.0,197.0
3521,334.5,197.0
3538,335.0,197.0
3553,335.5,197.5
3585,335.5,197.5
3616,335.0,197.5
3647,335.5,198.5
3680,335.5,198.5
3711,335.5,198.5
3743,335.5,199.0
3820,336.0,199.0
3836,336.0,199.0
3851,336.5,198.5
3883,337.0,198.5
3914,337.0,198.0
3946,337.0,198.5
3976,337.0,198.5
4008,338.0,202.0
4039,336.0,203.0
