n,x,y,lx,ly,rx,ry
1423,279.5,273.5,248,273,311,274
1497,280.5,272.0,249,271,312,273
1545,280.5,272.0,249,271,312,273
1597,282.5,270.5,251,270,314,271
1637,283.5,271.0,252,270,315,272
1762,283.5,271.0,252,270,315,272
1812,282.5,272.5,252,272,313,273
1914,282.5,272.5,252,272,313,273
1986,284.0,270.5,253,270,315,271
2074,285.0,270.0,254,270,316,270
2119,285.0,269.5,254,269,316,270
2163,285.0,269.5,254,269,316,270
2212,282.5,268.5,251,268,314,269
2261,281.5,268.5,250,268,313,269
2313,281.5,268.5,250,268,313,269
2364,281.0,268.0,250,268,312,268
2398,281.0,268.0,250,268,312,268
2446,281.0,268.0,250,268,312,268
2493,281.0,269.0,250,269,312,269
2546,281.0,268.5,250,269,312,268
2585,281.0,267.0,250,267,312,267
2635,281.5,266.0,250,266,313,266
2679,281.0,266.0,250,266,312,266
2726,281.5,266.0,251,266,312,266
2776,282.5,266.5,252,266,313,267
2821,283.5,266.5,253,266,314,267
2867,284.0,266.0,253,265,315,267
2910,284.0,266.0,253,265,315,267
2972,284.0,266.0,253,265,315,267
3019,284.5,266.0,254,265,315,267
3069,284.0,265.5,253,265,315,266
3111,284.5,266.0,254,265,315,267
3159,285.0,267.0,254,266,316,268
3203,286.0,267.5,255,267,317,268
3252,286.0,267.5,255,267,317,268
3298,286.0,267.5,255,267,317,268
3344,287.0,268.0,256,267,318,269
3376,287.0,268.0,256,267,318,269
3421,287.0,268.0,256,267,318,269
3453,287.0,268.0,256,267,318,269
3501,287.5,268.5,257,268,318,269
3545,288.0,268.5,257,268,319,269
3593,288.0,268.0,257,267,319,269
3637,288.0,268.0,257,267,319,269
3668,288.0,268.0,257,267,319,269
3703,288.0,268.0,257,267,319,269
3753,288.0,268.0,257,267,319,269
3795,287.0,268.0,256,267,318,269
3845,286.5,267.5,256,267,317,268
3919,286.0,267.0,255,266,317,268
3965,285.0,266.0,254,265,316,267
4010,285.0,266.0,254,265,316,267
4042,285.0,266.0,254,265,316,267
4074,285.0,265.5,254,265,316,266
4120,285.0,265.5,254,265,316,266
4168,284.5,265.5,254,265,315,266
4213,284.5,265.5,254,265,315,266
4245,284.5,265.5,254,265,315,266
4291,285.0,265.0,254,265,316,265
4322,284.5,265.5,254,265,315,266
4367,284.5,265.5,254,265,315,266
4399,285.0,265.0,254,265,316,265
4444,281.5,265.0,251,265,312,265
4509,282.0,265.5,252,266,312,265
4539,282.0,265.0,252,266,312,264
4568,282.0,265.0,252,266,312,264
4601,282.0,265.0,253,266,311,264
4632,281.5,265.0,252,266,311,264
4662,281.5,265.0,252,266,311,264
4693,281.5,265.5,252,267,311,264
4725,281.5,265.0,252,266,311,264
4757,281.5,265.0,252,266,311,264
4787,281.5,265.0,252,266,311,264
4834,282.0,265.5,252,267,312,264
4866,283.5,265.0,253,266,314,264
4899,283.5,264.5,253,265,314,264
4944,283.5,264.5,253,265,314,264
4975,283.5,264.5,253,265,314,264
5007,283.5,264.5,253,265,314,264
5038,283.5,264.5,253,265,314,264
5068,283.5,264.5,253,265,314,264
5101,283.5,264.5,253,265,314,264
5148,284.0,266.5,254,267,314,266
5179,284.0,266.5,254,267,314,266
5210,283.0,269.0,254,269,312,269
5241,283.0,269.5,253,270,313,269
5271,283.5,269.0,254,269,313,269
5304,284.0,268.0,254,268,314,268
5333,284.0,268.0,254,268,314,268
5366,284.5,268.0,254,268,315,268
5397,285.0,267.5,255,268,315,267
5426,285.0,267.0,255,267,315,267
5457,285.5,267.0,256,267,315,267
5489,286.0,267.5,256,267,316,268
5567,287.0,266.5,257,266,317,267
5599,288.0,266.5,258,266,318,267
5629,288.0,266.0,258,266,318,266
5660,288.5,265.5,259,265,318,266
5692,289.5,265.0,260,264,319,266
5725,290.5,266.5,263,265,318,268
5770,290.5,266.5,263,265,318,268
5801,293.0,266.0,266,265,320,267
5832,294.5,265.0,268,264,321,266
5879,296.0,264.0,269,263,323,265
5912,298.5,263.5,271,263,326,264
5959,299.5,261.5,272,261,327,262
5997,302.5,259.0,275,257,330,261
6091,303.5,258.0,275,257,332,259
6146,304.5,257.5,276,256,333,259
6200,309.5,258.0,282,256,337,260
6241,311.5,259.5,284,258,339,261
6288,321.5,262.5,295,259,348,266
6377,330.0,265.5,304,260,356,271
6419,335.0,268.0,311,262,359,274
6451,339.0,270.0,315,264,363,276
6483,338.5,269.5,314,263,363,276
6544,342.5,272.5,319,265,366,280
6602,349.0,278.5,326,271,372,286
6635,348.5,279.5,326,272,371,287
6667,350.0,280.5,328,273,372,288
6698,350.5,281.0,329,273,372,289
6730,350.0,280.5,331,275,369,286
6762,352.0,282.0,331,275,373,289
6809,352.0,283.0,332,276,372,290
6856,352.0,283.0,333,276,371,290
6886,352.5,282.5,334,276,371,289
6917,353.0,283.5,333,276,373,291
6946,354.0,284.5,337,278,371,291
6978,355.0,286.0,334,278,376,294
7009,354.5,285.0,336,279,373,291
7045,357.0,286.0,338,279,376,293
7085,355.5,284.5,338,278,373,291
7118,357.5,287.0,338,279,377,295
7163,357.5,286.0,341,281,374,291
7193,357.5,285.0,341,280,374,290
7227,358.5,287.5,341,281,376,294
7269,356.5,286.5,335,277,378,296
7301,357.0,285.5,340,279,374,292
7333,358.0,285.5,342,280,374,291
7366,359.5,288.0,343,282,376,294
7410,357.5,286.5,340,280,375,293
7442,360.0,288.0,343,282,377,294
7486,357.5,286.5,343,282,372,291
7518,358.0,286.5,342,281,374,292
7565,355.0,286.5,336,279,374,294
7609,357.5,288.0,339,281,376,295
7640,358.5,288.5,343,283,374,294
7673,354.0,286.5,335,280,373,293
7704,357.5,289.0,340,282,375,296
7735,357.5,289.5,339,283,376,296
7769,358.0,291.0,339,284,377,298
7798,356.5,290.0,337,283,376,297
7830,358.0,290.5,340,284,376,297
7876,355.5,291.0,337,285,374,297
7923,356.5,290.5,336,284,377,297
7970,354.5,290.5,335,284,374,297
8002,356.5,292.5,336,286,377,299
8034,353.0,290.5,332,283,374,298
8078,356.0,291.5,336,285,376,298
8121,353.5,290.0,335,284,372,296
8155,353.5,290.0,336,284,371,296
8184,356.0,291.0,339,285,373,297
8217,354.0,290.0,336,284,372,296
8249,355.0,290.5,336,284,374,297
8280,354.0,290.0,335,283,373,297
8313,352.5,289.5,335,283,370,296
8357,353.5,290.0,335,283,372,297
8390,351.5,289.5,331,282,372,297
8418,350.5,288.0,332,282,369,294
8450,352.5,289.5,333,283,372,296
8482,351.5,289.0,334,283,369,295
8512,350.5,289.0,330,282,371,296
8545,348.0,288.0,330,282,366,294
8577,348.5,288.5,330,282,367,295
8606,350.0,288.5,330,282,370,295
8639,348.5,288.0,331,282,366,294
8670,350.5,289.5,331,283,370,296
8703,346.0,287.0,328,282,364,292
8749,344.5,286.5,325,281,364,292
8792,346.5,287.5,327,282,366,293
8821,346.0,287.0,325,280,367,294
8855,344.5,287.0,325,281,364,293
8886,344.5,286.5,326,281,363,292
8917,344.5,286.5,324,281,365,292
8951,342.0,286.0,319,279,365,293
8992,343.0,286.5,322,280,364,293
9024,343.5,287.0,322,280,365,294
9055,342.0,286.5,320,280,364,293
9084,342.0,287.0,320,280,364,294
9117,342.5,286.5,320,280,365,293
9147,341.0,286.5,318,279,364,294
9366,344.0,286.0,324,279,364,293
9399,342.0,285.5,320,279,364,292
9428,339.5,283.5,316,276,363,291
9459,339.5,284.0,317,278,362,290
9493,336.5,282.0,313,276,360,288
9524,324.5,270.0,298,264,351,276
9556,318.0,265.0,289,259,347,271
9585,311.5,261.5,284,256,339,267
9617,307.0,258.5,279,253,335,264
9647,303.0,256.0,275,251,331,261
9681,299.0,254.5,271,250,327,259
9727,296.0,254.0,267,251,325,257
9758,292.5,254.0,264,252,321,256
9804,290.0,253.5,262,252,318,255
9835,290.0,254.0,262,252,318,256
9866,289.0,253.5,262,252,316,255
9898,289.0,253.0,263,252,315,254
9926,288.0,253.0,262,252,314,254
9959,289.0,252.5,263,252,315,253
9992,289.5,253.5,262,253,317,254
10037,289.5,253.0,262,252,317,254
10070,290.0,253.5,262,253,318,254
10114,290.0,253.5,262,253,318,254
10145,290.0,253.5,262,253,318,254
10175,290.0,253.0,262,252,318,254
10212,291.0,253.0,263,252,319,254
10256,291.0,253.5,263,253,319,254
10286,291.0,254.0,263,254,319,254
10318,291.0,253.5,263,253,319,254
10350,291.0,253.5,263,253,319,254
10381,291.0,253.5,263,253,319,254
10412,291.0,253.5,263,253,319,254
10443,292.0,253.5,264,253,320,254
10474,291.5,253.5,263,253,320,254
10518,290.5,252.5,263,252,318,253
10547,290.5,252.5,264,252,317,253
10578,290.0,252.5,264,252,316,253
10611,289.5,252.5,263,252,316,253
10642,289.5,253.0,264,253,315,253
