n,x,y
1402,306.0,228.5
1460,320.0,227.5
1506,324.5,229.0
1554,325.0,229.0
1600,326.0,229.0
1630,327.0,229.0
1661,327.0,229.0
1692,328.0,228.5
1723,328.0,228.5
1754,329.0,228.0
1786,330.0,228.0
1818,331.0,228.0
1863,332.5,228.5
1895,334.5,228.0
1927,335.5,228.5
1972,337.5,228.5
2004,338.5,228.0
2034,339.0,228.0
2066,340.0,228.0
2099,341.0,227.5
2145,341.5,227.5
2190,340.5,227.5
2221,340.5,226.5
2267,340.5,226.5
2299,340.0,225.5
2330,340.0,225.5
2361,340.0,225.0
2393,339.0,224.5
2424,338.0,224.5
2454,337.5,224.0
2486,336.0,223.5
2518,335.0,223.5
2549,334.0,223.0
2579,333.0,222.5
2610,332.0,222.0
2643,330.0,221.0
2675,329.0,220.0
2705,328.0,220.0
2737,327.5,219.5
2769,326.5,218.5
2813,326.0,218.0
2844,325.0,217.5
2876,325.0,217.5
2922,324.0,217.5
2956,324.0,217.5
3001,324.0,216.5
3046,323.5,216.5
3078,323.0,216.5
3114,322.5,216.5
3156,320.0,213.5
3203,320.0,213.5
3235,320.0,213.0
3265,320.5,212.5
3296,321.5,213.0
3343,323.0,212.5
3390,324.0,213.5
3436,325.0,212.5
3468,325.5,212.5
3513,326.5,212.5
3544,326.5,212.0
3576,327.5,212.5
3607,327.0,212.5
3636,326.5,212.5
3667,326.5,213.5
3699,325.5,214.0
3728,324.5,214.5
3762,323.5,214.0
3791,323.5,213.5
3823,323.5,213.0
3854,324.0,213.5
3884,324.0,213.0
3918,323.5,212.0
3949,323.5,212.5
3980,325.0,212.5
4012,326.5,216.5
4048,327.5,216.0
4087,328.0,211.5
4122,328.5,210.5
4154,329.0,210.5
4199,328.5,209.5
4231,328.0,210.0
4276,327.5,210.0
4306,326.5,210.0
4338,326.0,210.0
4369,325.5,210.0
4401,324.5,210.5
4445,323.5,210.5
4478,323.5,211.0
4523,323.5,211.5
4555,323.5,211.5
4586,323.5,211.5
4617,322.5,211.5
4650,322.0,210.5
4694,323.0,210.5
4725,323.5,210.5
4754,323.5,210.0
4784,324.0,210.0
4817,323.5,209.5
4834,323.0,209.0
4865,322.5,208.5
4896,321.5,208.5
4928,321.5,208.5
4972,320.5,208.5
5018,320.5,208.5
5051,321.0,208.5
5082,321.0,208.5
5113,321.5,208.5
5145,321.5,208.5
5176,322.0,208.5
5207,323.0,208.5
5237,324.5,208.5
5270,325.0,208.5
5300,325.0,209.0
5332,325.5,209.5
5364,327.5,210.0
5394,327.0,210.0
5427,327.5,210.0
5456,328.5,210.0
5490,327.5,210.0
5532,328.5,210.0
5562,328.0,210.0
5594,328.5,210.0
5625,329.0,210.0
5655,329.5,210.0
5686,329.0,210.0
5718,329.5,210.0
5748,329.5,210.5
5782,330.0,210.5
5826,330.0,210.5
5857,329.5,210.5
5893,330.0,210.5
5940,329.5,210.5
5981,331.0,211.0
6012,332.5,212.0
6043,333.0,214.0
6074,333.0,214.0
6107,334.0,214.0
6137,334.0,214.0
6168,335.0,214.0
6200,334.5,214.0
6231,335.0,213.5
