n,x,y,lx,ly,rx,ry,xT,yT,zT,clx,cly,clz,crx,cry,crz
0.0,-0.2003,-4.2888,2.0735,-4.9015,-1.9975,-4.7867,0.0,0.0,0.4433,-0.0329,0.0062,-0.0271,0.0339,0.0059,-0.0288
4.0257,-0.1855,-4.462,1.7527,-5.105,-2.1938,-4.7106,0.0,0.0,0.4433,-0.0329,0.0062,-0.0272,0.034,0.0059,-0.0289
8.0535,-0.15,-4.6048,1.7261,-5.0943,-1.9862,-4.8817,0.0,0.0,0.4433,-0.0329,0.0062,-0.0271,0.0339,0.0059,-0.0288
11.9766,-0.132,-4.6972,1.7375,-5.0915,-2.0352,-4.7385,0.0,0.0,0.4433,-0.0329,0.0062,-0.0272,0.0339,0.0059,-0.0289
16.0115,-0.1309,-4.7577,1.6892,-5.1382,-2.0903,-4.698,0.0,0.0,0.4433,-0.0329,0.0062,-0.0272,0.034,0.0059,-0.0288
20.0382,-0.1207,-4.808,1.6911,-5.259,-2.0089,-4.9797,0.0,0.0,0.4433,-0.0329,0.0063,-0.0272,0.034,0.0059,-0.0288
24.0793,-0.1312,-4.8139,1.6904,-5.1308,-2.1487,-4.7201,0.0,0.0,0.4433,-0.0329,0.0062,-0.0272,0.034,0.0059,-0.0287
28.122,-0.1359,-4.8121,1.7126,-5.1147,-2.1586,-4.6903,0.0,0.0,0.4433,-0.0329,0.0062,-0.0272,0.034,0.0059,-0.0288
32.0661,-0.1378,-4.8032,1.7154,-5.1764,-2.0054,-4.8823,0.0,0.0,0.4433,-0.0329,0.0063,-0.0272,0.034,0.0059,-0.0288
36.0477,-0.1351,-4.8107,1.7393,-5.1421,-1.9969,-4.7585,0.0,0.0,0.4433,-0.0329,0.0062,-0.0272,0.034,0.0059,-0.0288
39.9697,-0.1415,-4.8193,1.7359,-5.1915,-2.0658,-4.8036,0.0,0.0,0.4433,-0.0329,0.0063,-0.0272,0.034,0.0059,-0.0288
43.9835,-0.1543,-4.8373,1.7499,-5.2075,-2.0256,-4.8885,0.0,0.0,0.4433,-0.0329,0.0063,-0.0272,0.034,0.0059,-0.0288
48.0412,-0.1509,-4.8414,1.7913,-5.214,-2.1409,-4.7124,0.0,0.0,0.4433,-0.0329,0.0062,-0.0271,0.034,0.0059,-0.0288
51.9989,-0.1518,-4.8396,1.7786,-5.1644,-2.0771,-4.7686,0.0,0.0,0.4433,-0.0329,0.0062,-0.0272,0.034,0.0059,-0.0287
55.9788,-0.1414,-4.8507,1.8973,-5.1337,-1.9996,-4.9455,0.0,0.0,0.4433,-0.0329,0.0062,-0.0272,0.034,0.0059,-0.0287
60.0456,-0.133,-4.8502,1.9267,-5.0684,-2.1456,-4.7912,0.0,0.0,0.4433,-0.0329,0.0062,-0.0272,0.034,0.0059,-0.0287
63.9774,-0.1271,-4.8358,1.882,-5.0895,-2.0849,-4.8008,0.0,0.0,0.4433,-0.0329,0.0062,-0.0272,0.034,0.0059,-0.0287
67.9949,-0.1178,-4.843,1.7702,-5.204,-2.0082,-4.8136,0.0,0.0,0.4433,-0.0329,0.0063,-0.0272,0.034,0.0059,-0.0288
72.0063,-0.1064,-4.8487,1.8621,-5.1072,-2.046,-4.8505,0.0,0.0,0.4433,-0.0329,0.0063,-0.0272,0.034,0.0059,-0.0287
76.0403,-0.1053,-4.8523,1.8139,-5.1732,-2.0746,-4.9397,0.0,0.0,0.4433,-0.0329,0.0063,-0.0272,0.034,0.0059,-0.0287
80.0676,-0.1192,-4.8424,1.5915,-4.8675,-2.1196,-4.855,0.0,0.0,0.4433,-0.0329,0.0062,-0.0273,0.034,0.0059,-0.0287
84.0027,-0.1159,-4.8425,1.8588,-5.1548,-2.1172,-4.8367,0.0,0.0,0.4433,-0.0329,0.0063,-0.0271,0.034,0.0059,-0.0287
88.0647,-0.1005,-4.8399,1.9564,-5.08,-1.9233,-4.9381,0.0,0.0,0.4433,-0.033,0.0062,-0.027,0.034,0.0059,-0.0287
92.0022,-0.0825,-4.8206,2.0719,-4.7509,-2.0401,-4.8013,0.0,0.0,0.4433,-0.033,0.0062,-0.0271,0.034,0.0059,-0.0287
96.0296,-0.0743,-4.8077,1.8677,-4.7903,-1.9683,-4.8896,0.0,0.0,0.4433,-0.0329,0.0062,-0.0272,0.034,0.0059,-0.0287
100.0168,-0.0699,-4.8122,1.9118,-5.1615,-1.9535,-4.9674,0.0,0.0,0.4433,-0.033,0.0063,-0.0273,0.034,0.0059,-0.0287
103.9919,-0.0574,-4.8111,2.0057,-5.0694,-1.9792,-4.7864,0.0,0.0,0.4433,-0.033,0.0063,-0.0272,0.034,0.0059,-0.0288
107.9872,-0.0496,-4.8144,1.9421,-5.2153,-1.9826,-4.7459,0.0,0.0,0.4433,-0.033,0.0063,-0.0272,0.034,0.0059,-0.0288
112.0138,-0.0422,-4.8171,1.9327,-5.1884,-2.0104,-4.8613,0.0,0.0,0.4433,-0.033,0.0063,-0.0272,0.034,0.0059,-0.0288
116.0344,-0.0313,-4.814,1.9615,-5.1328,-1.9278,-4.7549,0.0,0.0,0.4433,-0.033,0.0063,-0.0273,0.034,0.0059,-0.0288
120.056,-0.0195,-4.8087,1.9508,-5.2047,-1.9494,-4.7491,0.0,0.0,0.4433,-0.033,0.0063,-0.0272,0.034,0.0059,-0.0288
