n,x,y,lx,ly,rx,ry,xT,yT,zT,clx,cly,clz,crx,cry,crz
0.0,-2.9106,2.6754,2.5958,3.0949,-8.4124,1.8354,0.0,0.0,0.4433,-0.0313,0.0007,-0.0277,0.0353,0.0013,-0.03
4.0267,-2.8961,2.6847,2.8936,3.5451,-8.2986,1.8626,0.0,0.0,0.4433,-0.0313,0.0007,-0.0277,0.0353,0.0013,-0.03
7.9416,-2.8907,2.6762,2.6734,3.1577,-8.3202,1.8643,0.0,0.0,0.4433,-0.0313,0.0007,-0.0277,0.0353,0.0013,-0.03
11.9579,-2.8763,2.6352,2.855,2.9202,-8.3492,1.933,0.0,0.0,0.4433,-0.0313,0.0007,-0.0277,0.0353,0.0013,-0.03
15.9487,-2.8792,2.6303,2.6919,3.2898,-8.491,1.8998,0.0,0.0,0.4433,-0.0313,0.0007,-0.0277,0.0353,0.0013,-0.03
19.9877,-2.8588,2.6226,3.0538,3.0928,-8.317,1.8568,0.0,0.0,0.4433,-0.0313,0.0007,-0.0277,0.0353,0.0013,-0.03
24.1227,-2.8313,2.6114,2.8887,2.8556,-8.4002,1.8923,0.0,0.0,0.4433,-0.0313,0.0007,-0.0277,0.0353,0.0013,-0.03
27.9494,-2.8366,2.5998,2.7454,2.7422,-8.4569,1.9524,0.0,0.0,0.4433,-0.0313,0.0007,-0.0277,0.0353,0.0013,-0.03
31.9525,-2.8301,2.6051,2.8538,3.2208,-8.3684,1.8718,0.0,0.0,0.4433,-0.0313,0.0007,-0.0277,0.0353,0.0013,-0.03
35.9656,-2.811,2.5749,2.828,2.7917,-8.3291,1.8561,0.0,0.0,0.4433,-0.0313,0.0007,-0.0277,0.0353,0.0013,-0.0301
39.9283,-2.7858,2.558,2.979,2.912,-8.4947,2.0446,0.0,0.0,0.4433,-0.0313,0.0007,-0.0278,0.0353,0.0013,-0.0301
44.0264,-2.7833,2.5504,2.7284,2.8602,-8.4155,1.9402,0.0,0.0,0.4433,-0.0313,0.0007,-0.0277,0.0353,0.0013,-0.0301
47.9458,-2.7961,2.5294,2.7656,2.9965,-8.4555,1.8772,0.0,0.0,0.4433,-0.0313,0.0007,-0.0277,0.0353,0.0013,-0.0301
52.1776,-2.7785,2.5031,3.1143,2.5799,-8.41,1.9075,0.0,0.0,0.4433,-0.0313,0.0007,-0.0277,0.0353,0.0013,-0.0301
56.1089,-2.783,2.5039,2.8822,2.952,-8.4563,1.9062,0.0,0.0,0.4433,-0.0313,0.0007,-0.0277,0.0353,0.0013,-0.0301
59.9167,-2.783,2.4768,2.6952,2.7073,-8.4205,1.8747,0.0,0.0,0.4433,-0.0313,0.0007,-0.0276,0.0353,0.0013,-0.0301
64.2887,-2.7968,2.4866,2.953,3.3942,-8.5732,1.691,0.0,0.0,0.4433,-0.0313,0.0007,-0.0277,0.0353,0.0013,-0.0301
68.0826,-2.795,2.4808,2.9725,2.8662,-8.466,1.8121,0.0,0.0,0.4433,-0.0313,0.0007,-0.0277,0.0353,0.0013,-0.03
72.1127,-2.7856,2.4818,2.9327,2.8973,-8.4224,1.8417,0.0,0.0,0.4433,-0.0313,0.0007,-0.0277,0.0353,0.0013,-0.0301
75.9707,-2.7782,2.4837,3.111,3.1266,-8.5,1.9258,0.0,0.0,0.4433,-0.0313,0.0007,-0.0277,0.0353,0.0013,-0.0301
79.9963,-2.7826,2.4882,3.0086,2.7807,-8.5953,2.0073,0.0,0.0,0.4433,-0.0313,0.0007,-0.0277,0.0353,0.0013,-0.0301
83.9672,-2.7883,2.485,2.9109,2.9653,-8.5433,1.8805,0.0,0.0,0.4433,-0.0313,0.0007,-0.0277,0.0353,0.0013,-0.0301
