n,x,y,lx,ly,rx,ry,xT,yT,zT,clx,cly,clz,crx,cry,crz
0.0,1.207,-3.2595,4.1811,-4.8556,-2.0439,-2.1384,0.0,0.0,0.4433,-0.0336,0.0012,-0.0267,0.0298,0.0027,-0.0244
3.6177,1.2174,-2.9843,4.6737,-1.3,-1.962,-2.1324,0.0,0.0,0.4433,-0.0336,0.001,-0.0269,0.0298,0.0027,-0.0244
7.5831,1.172,-2.7859,4.0084,-1.4073,-2.2142,-1.4962,0.0,0.0,0.4433,-0.0336,0.001,-0.027,0.0298,0.0027,-0.0243
11.6755,1.115,-2.2981,3.6593,-0.4508,-2.0352,-0.725,0.0,0.0,0.4433,-0.0336,0.001,-0.0271,0.0297,0.0027,-0.0243
15.7065,1.0613,-1.9167,3.9104,-0.3777,-2.774,-0.0723,0.0,0.0,0.4433,-0.0336,0.001,-0.0272,0.0297,0.0027,-0.0243
19.5377,0.949,-1.6176,3.3106,-0.5638,-2.541,0.2123,0.0,0.0,0.4433,-0.0335,0.001,-0.0271,0.0297,0.0027,-0.0242
23.6162,0.8656,-1.259,3.258,-0.4621,-2.3616,0.5131,0.0,0.0,0.4433,-0.0335,0.0011,-0.027,0.0297,0.0026,-0.024
27.5585,0.7983,-1.0607,3.4128,-0.9101,-2.276,0.5692,0.0,0.0,0.4433,-0.0335,0.0011,-0.0269,0.0296,0.0026,-0.0239
31.8388,0.7595,-0.6265,3.3304,0.2323,-1.7533,0.7171,0.0,0.0,0.4433,-0.0335,0.0011,-0.0269,0.0296,0.0026,-0.0238
35.598,0.7126,-0.4335,3.3087,-0.3158,-1.7192,0.9062,0.0,0.0,0.4433,-0.0335,0.0011,-0.0268,0.0296,0.0026,-0.0238
39.6935,0.6451,-0.3357,2.9495,-0.5393,-1.8358,0.3008,0.0,0.0,0.4433,-0.0334,0.0011,-0.0267,0.0296,0.0026,-0.0238
43.5701,0.5806,-0.0558,2.927,-0.1359,-2.1069,1.4535,0.0,0.0,0.4433,-0.0334,0.0011,-0.0266,0.0296,0.0026,-0.024
47.6934,0.4995,0.0555,2.6703,-0.514,-2.1417,1.1337,0.0,0.0,0.4433,-0.0334,0.0011,-0.0265,0.0296,0.0026,-0.0239
51.6746,0.5132,0.1624,3.181,0.3141,-1.8416,0.2582,0.0,0.0,0.4433,-0.0334,0.001,-0.0265,0.0296,0.0026,-0.0239
